QUANTIDADE_NF,PESO_TOTAL,QUDE_ITENS,VALOR_TOTAL,CIDADE,COD_ROTA,ROTA,DIA_SEMANA,MES,SEMANA
10,"1294,5917",96,"11519,61",AMPERE,16,AMPERE,QUARTA-FEIRA,4,1
19,"5185,0667",174,"44360,32",AMPERE,16,AMPERE,TERÇA-FEIRA,4,1
1,"62,744",6,"336,55",Ampére,16,AMPERE,TERÇA-FEIRA,4,1
4,"696,9668",44,"23450,26",REALEZA,16,AMPERE,SEXTA-FEIRA,4,1
10,"2239,6304",68,"11054,5",REALEZA,16,AMPERE,TERÇA-FEIRA,4,1
5,"1067,592",20,"2794,09",REALEZA,16,AMPERE,QUARTA-FEIRA,4,1
2,"103,076",11,"1080,72",SANTA IZABEL OESTE,16,AMPERE,QUARTA-FEIRA,4,1
4,"1859,7853",48,"6964,01",SANTA IZABEL OESTE,16,AMPERE,TERÇA-FEIRA,4,1
11,"3060,003",58,"14724,29",AMPERE,16,AMPERE,QUINTA-FEIRA,4,2
1,1295,1,9506,REALEZA,16,AMPERE,QUINTA-FEIRA,4,2
3,"191,5976",32,"2008,33",AMPERE,16,AMPERE,QUINTA-FEIRA,4,3
31,"2411,7318",272,"31878,69",AMPERE,16,AMPERE,QUARTA-FEIRA,4,3
20,"3044,9842",151,39937,AMPERE,16,AMPERE,TERÇA-FEIRA,4,3
1,"44,8948",7,"484,55",Ampére,16,AMPERE,QUARTA-FEIRA,4,3
19,"3032,082",222,"61835,54",REALEZA,16,AMPERE,TERÇA-FEIRA,4,3
18,"926,4638",141,"21116,53",REALEZA,16,AMPERE,QUARTA-FEIRA,4,3
7,"1051,0039",138,"24645,46",SANTA IZABEL OESTE,16,AMPERE,TERÇA-FEIRA,4,3
8,"897,5476",63,"12418,45",SANTA IZABEL OESTE,16,AMPERE,QUARTA-FEIRA,4,3
34,"3887,1579",235,"29079,24",AMPERE,16,AMPERE,TERÇA-FEIRA,4,4
9,"665,7973",77,"14303,82",AMPERE,16,AMPERE,SEXTA-FEIRA,4,4
1,"69,8816",10,"541,72",AMPÉRE,16,AMPERE,SEXTA-FEIRA,4,4
1,"59,809",7,"354,36",Ampére,16,AMPERE,TERÇA-FEIRA,4,4
1,"48,276",10,"504,8",Ampére,16,AMPERE,SEXTA-FEIRA,4,4
8,"792,5828",90,"15448,54",REALEZA,16,AMPERE,SEXTA-FEIRA,4,4
14,"2612,7421",125,"10641,41",REALEZA,16,AMPERE,TERÇA-FEIRA,4,4
15,"1929,9874",219,"31418,92",SANTA IZABEL OESTE,16,AMPERE,TERÇA-FEIRA,4,4
1,"221,695",16,"567,4",SANTA IZABEL OESTE,16,AMPERE,SEGUNDA-FEIRA,4,4
1,"13,8812",19,"394,97",AMPERE,16,AMPERE,QUARTA-FEIRA,4,5
5,"362,4232",23,"6129,53",REALEZA,16,AMPERE,QUARTA-FEIRA,4,5
23,"2732,4236",196,"22044,18",AMPERE,16,AMPERE,TERÇA-FEIRA,5,1
1,"43,11",4,"480,68",AMPÉRE,16,AMPERE,TERÇA-FEIRA,5,1
2,"46,1662",21,"586,92",Ampére,16,AMPERE,TERÇA-FEIRA,5,1
17,"1594,8329",115,"11217,8",REALEZA,16,AMPERE,TERÇA-FEIRA,5,1
7,"500,1169",100,"10704,45",SANTA IZABEL OESTE,16,AMPERE,TERÇA-FEIRA,5,1
1,"142,2192",18,"1977,69",SANTA IZABEL OESTE,16,AMPERE,QUINTA-FEIRA,5,1
33,"2408,8469",225,"31268,39",AMPERE,16,AMPERE,TERÇA-FEIRA,5,2
6,"738,5272",85,"23116,35",AMPERE,16,AMPERE,SEXTA-FEIRA,5,2
14,"862,6565",166,"20580,93",REALEZA,16,AMPERE,TERÇA-FEIRA,5,2
4,"401,4824",31,"2417,17",SANTA IZABEL OESTE,16,AMPERE,TERÇA-FEIRA,5,2
28,"2137,3099",224,"39285,56",AMPERE,16,AMPERE,TERÇA-FEIRA,5,3
20,"2237,0204",245,"41155,07",REALEZA,16,AMPERE,TERÇA-FEIRA,5,3
15,"2263,271",244,"41987,56",SANTA IZABEL OESTE,16,AMPERE,TERÇA-FEIRA,5,3
24,"3912,9128",164,"32395,3",AMPERE,16,AMPERE,QUARTA-FEIRA,5,4
8,"690,9168",127,"15193,29",AMPERE,16,AMPERE,SÁBADO,5,4
1,"843,8695",51,"24614,39",REALEZA,16,AMPERE,TERÇA-FEIRA,5,4
12,"896,9638",99,"21527,72",REALEZA,16,AMPERE,SÁBADO,5,4
9,"974,8662",78,"8434,38",REALEZA,16,AMPERE,QUARTA-FEIRA,5,4
16,"2073,7127",188,"26019,83",SANTA IZABEL OESTE,16,AMPERE,QUARTA-FEIRA,5,4
3,"230,7336",21,"1006,39",SANTA IZABEL OESTE,16,AMPERE,SÁBADO,5,4
5,"139,0395",26,"2273,87",AMPERE,16,AMPERE,SÁBADO,5,5
1,"97,4024",42,"4997,18",REALEZA,16,AMPERE,SEXTA-FEIRA,5,5
4,"534,9982",35,"7796,83",REALEZA,16,AMPERE,SÁBADO,5,5
1,"111,66",1,"356,13",SANTA IZABEL OESTE,16,AMPERE,SÁBADO,5,5
5,"606,4059",62,"20675,09",AMPERE,16,AMPERE,SÁBADO,6,1
32,"4182,8262",333,"43652,8",AMPERE,16,AMPERE,QUARTA-FEIRA,6,1
2,"102,7068",13,"687,84",AMPÉRE,16,AMPERE,QUARTA-FEIRA,6,1
11,"1435,8846",117,"22067,8",REALEZA,16,AMPERE,QUARTA-FEIRA,6,1
